# Npart	RAA (central)	RAA (lower)	RAA (upper)
0.97059866	1.	1.	1.
3.8095328	0.98208197	0.97906644	0.9850975
9.6677908	0.75793389	0.75337849	0.76248928
21.292762	0.40428404	0.40027775	0.40829034
41.050937	0.19435379	0.19116669	0.19754089
70.787143	0.10639302	0.10382324	0.1089628
112.39007	0.072529315	0.070343248	0.074715383
168.50284	0.056604449	0.054659504	0.058549395
243.53796	0.048188433	0.046395188	0.049981677
315.85912	0.044294701	0.042485441	0.046103961
374.98828	0.038642695	0.036979753	0.040305638
406.12232	0.039489087	0.037904863	0.041073312
